Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
6375,4097,Directed,109170,,,1,DIG,LXA,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3404,6772,Directed,109172,,,1,DLC,CHG,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3404,4109,Directed,109173,,,1,DLC,CZX,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3404,3382,Directed,109174,,,1,DLC,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3404,9848,Directed,109175,,,1,DLC,LDS,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3404,4148,Directed,109176,,,1,DLC,LYA,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4054,3395,Directed,109184,,,1,DLU,CTU,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3940,3406,Directed,109188,,,1,DPS,PVG,,0,332,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6434,3400,Directed,109190,,,1,DSN,HRB,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6434,3382,Directed,109191,,,1,DSN,KMG,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
2188,3382,Directed,109196,,,1,DXB,KMG,,0,333,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6353,4109,Directed,109197,,,1,DYG,CZX,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6367,3379,Directed,109203,,,1,ENY,XIY,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6363,3379,Directed,109219,,,1,GOQ,XIY,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6363,6366,Directed,109220,,,1,GOQ,XNN,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3199,3373,Directed,109224,,,1,HAN,NNG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3199,3406,Directed,109225,,,2,HAN,PVG,Y,0,321,VN,Vietnam Airlines,\N,VN,HVN,VIET NAM AIRLINES,Vietnam,Y,
8407,3406,Directed,109226,,,1,HDG,PVG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
8407,3391,Directed,109227,,,1,HDG,SHA,,0,320 737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3389,3393,Directed,109241,,,2,HFE,CKG,,0,320,PN,West Air China,\N,PN,CHB,WEST CHINA,China,Y,
3389,3077,Directed,109243,,,1,HFE,HKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3389,3372,Directed,109245,,,1,HFE,KWL,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
