Id,Label,timeset,airport_id,airport_name,airport_city,airport_country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,airport_dst,airport_tz,airport_type,data_source,background_map_node,lat,lng,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
9874,,,9874,Silangit Airport,Siborong-Borong,Indonesia,DTB,WIMN,2.25973,98.991898,4700,7,N,Asia/Jakarta,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3484,0,0.000039,3471,3512,0,0
9875,,,9875,Lasikin Airport,Sinabang,Indonesia,\N,WITG,2.41028,96.3256,19,7,N,Asia/Jakarta,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3485,0,0.000039,3472,3513,0,0
9886,,,9886,Seunagan Airport,Nagan Raya,Indonesia,MEQ,WITC,4.25,96.217003,10,7,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3486,0,0.000039,3473,3514,0,0
9887,,,9887,Betoambari Airport,Bau-Bau,Indonesia,BUW,WAWB,-5.48688,122.569,164,8,N,\N,airport,OurAirports,,,,1,1,2,1,1,2,10,0.211581,0.221328,0,0.000026,0.000026,1793,0,0.000056,0,19,0,0.000531
9888,,,9888,Kao Airport,Kao,Indonesia,KAZ,WAMK,1.18528,127.896004,27,9,N,\N,airport,OurAirports,,,,1,1,2,1,1,2,10,0.210629,0.219483,0,0.000015,0.000016,1793,0,0.000057,0,19,0,0.000349
9889,,,9889,Melangguane Airport,Melonguane,Indonesia,MNA,WAMN,4.00694,126.672997,3,8,N,\N,airport,OurAirports,,,,1,1,2,1,1,2,10,0.210629,0.219483,0,0.000015,0.000016,1793,0,0.000057,0,19,0,0.000349
9890,,,9890,Sanggata/Sangkimah Airport,Sanggata,Indonesia,SGQ,WRLA,0.3847,117.543,60,8,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3487,0,0.000039,3474,3515,0,0
9891,,,9891,Muara Bungo Airport,Muara Bungo,Indonesia,\N,WIPI,-1.1278,102.135,214,7,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3488,0,0.000039,3475,3516,0,0
9892,,,9892,Selayar/Aroepala Airport,Selayar,Indonesia,\N,WAWH,-6.1751,120.4362,30,8,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3489,0,0.000039,3476,3517,0,0
9897,,,9897,Illaga Airport,Illaga,Indonesia,ILA,WABL,-3.97648,137.6225,7989,9,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3490,0,0.000039,3477,3518,0,0
9898,,,9898,Oksibil Airport,Oksibil,Indonesia,OKL,WAJO,-4.9071,140.6277,4315,9,N,\N,airport,OurAirports,,,,1,1,2,1,1,2,10,0.195425,0.202683,0,0.000004,0.000004,1793,0,0.000066,0,19,0,0.000247
9899,,,9899,Kokonau Airport,Kokonau,Indonesia,KOX,WABN,-4.71075,136.43515,59,9,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3491,0,0.000039,3478,3519,0,0
9901,,,9901,Clermont Airport,Clermont,Australia,CMQ,YCMT,-22.7731,147.621002,908,10,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3492,0,0.000039,3479,3520,0,0
9902,,,9902,Warrnambool Airport,Warrnambool,Australia,WMB,YWBL,-38.2953,142.447006,242,10,O,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3493,0,0.000039,3480,3521,0,0
9904,,,9904,Richmond Airport,Richmond,Australia,RCM,YRMD,-20.7019,143.115005,676,10,N,\N,airport,OurAirports,,,,1,1,2,1,1,2,11,0.166225,0.170206,0,0,0,1793,0,0.000105,0,19,0,0.000158
9905,,,9905,RAAF Base Curtin,Derby,Australia,DCN,YCIN,-17.5814,123.828003,300,8,N,\N,airport,OurAirports,,,,1,1,2,2,2,4,9,0.238258,0.249723,0,0.000108,0.000108,1793,0,0.000068,0,19,0,0.001213
9935,,,9935,Kualanamu International Airport,Medan,Indonesia,KNO,WIMM,3.642222,98.885278,23,7,N,Asia/Jakarta,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3494,0,0.000039,3481,3522,0,0
9937,,,9937,Gratiot Community Airport,Kamloops,Canada,AMN,KAMN,43.322102,-84.688004,754,-7,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3495,0,0.000039,3482,3523,0,0
9938,,,9938,Asheboro Regional Airport,Asheboro,United States,\N,KHBI,35.654499,-79.894699,671,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3496,0,0.000039,3483,3524,0,0
9939,,,9939,Seosan Air Base,Seosan,South Korea,HMY,RKTP,36.703999,126.486,39,9,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3497,0,0.000039,3484,3525,0,0
9942,,,9942,Henderson Field,Wallace,United States,\N,KACZ,34.717899,-78.003601,39,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3498,0,0.000039,3485,3526,0,0
9943,,,9943,Emporia Greensville Regional Airport,Emporia,United States,\N,KEMV,36.686901,-77.482803,127,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3499,0,0.000039,3486,3527,0,0
